Q,A,,,,
校验开票数据异常 ，请重试,防串号机制:开票完成后，发票智慧管家会校验开票的结果内容和开票请求是否一致 ; 如果在税局无法查询到该发票导致无法校验就会报该错误 ;重新开具,,,,
"不到发票 抵扣勾选提交成功 ，当前发票勾选状态可能未发生变 化，税局正在处理中","到国税查验平台查询 
https://inv-veri.chinatax.gov.cn/index.html?source=bdjj&e_keywordid2=92056973642",,,,
参数错误，请检查当前授权信息是否正确 !,让客户在发票智慧管家客户端重新编辑账号,,,,
提示开票错误,查询本地日志 (generateExcelTemplate )看请求是否到客户端,,,,
在云化客户端无法新增电子税局账号 ，提示该账号已被 绑定，无法选择,让客户在个人中心解绑 ，重新扫码客户端的二维码绑定,,,,
新增电子税局账号提示 “授权信息错误 ”,重新编辑登陆账号,,,,
登录电子税局账号一直转圈,"处理步骤 1、先登录电子税局，新版登录，做一遍失败认证(具体操作:请使用配置在客户端的全电平台账号登录电子税局 ，点击 我要办税→开票业务→蓝字发票开具→批量开具，点击[批量开具]，此时会弹出实人认证页面 ，使用电子税务局app扫码 进行认证 ) 2、然后点一下账户中心 ，看一个人的权限 3、关闭电子税局，返回发票云公众号重新登录 (我的服务——电子税局配置，找到对应企业的电子税局账号管理 ，点击 进去，点击对应账号 ，编辑，重新输入密码登录 。)",,,,
开票之后文件未生成,在客户端登陆开票账号 ，会重新同步发票,,,,
开全电票卡在 10%的，重试几次还是不行,重新指定 name,,,,
"星辰的客户 失败提示:该发票正在开具中,这个状态很 久了,一直没返回, 登录电子税局看了下也没有开成功",10分钟后重新操作开票就行,,,,
无法登录智慧管家:无法登录，日志查看是“ 加载最新 的插件列表异常 ”,D:\kingdeePwyClient\userData ，发票智慧管家安装 pc的这个目录下 ，保留logs和db文件夹，其他的全部删除了 ， 重启客户端,,,,
发票文件正在生成 ，请稍后再试,"1、可以稍后再试 2、客户在客户端或者公众号登录对应发票使用的电子税局账号 ，我们后台就会去重新下载",,,,
开票时报电子税务登录失效的原因是什么 ?,"A:开票时报电子税务登录失效的原因可能有以下几种 : 
电子税务登录信息有误 ，例如用户名 、密码不正确 ，或者验证码输入错误等 ; 网络连接问题 ，例如网络不稳定 、网络故障等 ; 客户端设置问题，例如客户税号配置成走本地客户端 ，不走云化;",,,,
Q:智慧管家新增账号提示授权信息有误的原因是什 么?,"A:智慧管家新增账号提示授权信息有误可能有以下原因 : 
输入的信息有误 :在输入账号信息时 ，可能由于输入错误 、拼写错误等问题导致授权信息有误 。请仔细检查输入的信息是 否与账户设定一致 。 
网络连接问题:网络连接不稳定或者服务器端出现故障可能导致授权信息有误的提示 。可以尝试检查网络连接是否正常， 或者稍等一段时间再尝试新增账号 。 
账户被锁定:如果账户被锁定，可能会导致新增账号时出现授权信息有误的提示 。可以尝试联系相关技术支持或者业务咨 询人员，以解锁账户并重新尝试新增账号 。 
Q:如何解决智慧管家新增账号提示授权信息有误的问题 ?",,,,
如何解决智慧管家新增账号提示授权信息有误的问题 ?,"可以尝试以下方法解决智慧管家新增账号提示授权信息有误的问题 : 
检查输入的信息是否正确 :在输入账号信息时 ，请仔细检查输入的信息是否与账户设定一致 ，确保没有输入错误 、拼写错 误等问题 。 
检查网络连接是否正常 :可以尝试检查网络连接是否正常 ，并确保客户端与服务器之间的通信没有受到干扰 。 尝试删除并重新添加账号 :如果问题仍然存在 ，可以尝试删除有问题的账号 ，并重新添加一个新账号来替代 。 
如果问题仍然存在 ，请联系相关如果仍然存在问题 ，请联系相关技术支持或者业务咨询人员 ，以获取更进一步的帮助和支 持。",,,,
为什么商户运营平台开全电票会提示电子税局失效 ?,"重新登录电子税局账号 ，确保登录状态处于最新状态 ; 尝试重新同步数据，确保商户运营平台与电子税局的数据保持一致 ; 检查网络连接是否正常 ，确保商户运营平台与电子税局的接口连接稳定 。 如果以上方法仍然无法解决问题 ，建议联系相关技术支持或者业务咨询人员 ，以获取更进一步的帮助和支持 。",,,,
Q:智慧管家登录一直卡住 ，怎么办?,"A:智慧管家登录一直卡住可能有以下几种解决方案 : 
检查网络连接 :确保您的电脑网络连接正常 ，并且能够访问互联网 。如果网络连接不稳定 ，可能会导致智慧管家登录卡住 。 关闭所有的杀毒软件 检查智慧管家版本 :如果您使用的智慧管家版本过旧 ，可能会导致登录卡住 。请检查并升级您的智慧管家版本到最新版 本，然后重新尝试登录 。 
重启电脑 :如果以上方法都没有解决问题 ，可以尝试重启电脑 。在重启电脑后 ，再次尝试登录智慧管家",,,,
为什么在税局开票成功后 ，发票云没有相应的发票信 息?,"A:可能有以下原因导致在税局开票成功后 ，发票云没有同步相应的发票信息 : 
发票信息录入错误:在开票时，可能由于输入错误、选择错误等原因导致发票信息没有正确录入 。请检查开票信息是否正 确，确保各项信息如发票代码 、发票号码 、开票日期等准确无误 。 开票软件问题:可能是开票软件本身存在异常或故障 ，导致开票信息无法正常传递到发票云 。建议先尝试在开票软件中进 行修复操作 ，检查问题是否解决 。 
同步延迟:有时候，开票信息的同步可能需要一定的时间 。请耐心等待一段时间 ，再次尝试在发票云中查看开票信息 。",,,,
Q:如何通过开票软件修复问题 ?,"A:以下是在常见开票软件中进行修复操作的步骤 : 
进入开票软件 ，检查开票历史记录或已开发票列表 ，确认是否存在未同步的发票信息 。 如有未同步的发票信息 ，尝试进行修复操作 。具体操作方法可能因开票软件而异 ，一般可以尝试重新上传发票信息 、修改 发票状态等 。 修复操作完成后，再次尝试在发票云中查看同步情况 。如问题仍然存在，可能需要联系开票软件的技术支持或相关客服进 行进一步处理 。",,,,
如何进行发票同步操作 ?,"A:在部分开票软件中 ，可能需要进行发票同步操作 ，以确保开票信息在税局和发票云之间正确传递 。以下是一般同步操 作的步骤 : 
在开票软件中，找到“同步”或“更新”功能按钮。这通常在菜单栏或设置选项中可以找到 。 点击同步按钮，等待软件从税局获取最新开票信息 ，并更新到发票云中。 同步完成后，可以在发票云中查看同步的发票信息 ，确认是否已经成功。如仍有问题，可能需要再次尝试同步操作或联系 相关客服进行处理 。 
请注意，不同开票软件的具体操作方式可能有所不同 ，建议参考具体软件的帮助文档或与客服进行沟通 ，以获取更准确的 指导。",,,,
Q:为什么开具电子发票失败 ?,"A:开具电子发票失败的原因可能有很多 ，例如: 
发票代码、发票号码、开票日期等参数填写错误 ; 发票明细信息填写不完整或不规范 ; 系统出现故障或错误 ，导致开具电子发票失败 ; 税局登录失效 ，导致无法成功开具电子发票 。 如果遇到开具电子发票失败的情况 ，可以仔细核查各项参数是否填写正确 ，确保发票明细信息填写完整且规范 。如果仍然 无法成功开具电子发票，可以尝试重新登录税局账号或者联系相关的技术支持人员协助处理 。",,,,
Q:为什么税局登录失效会导致开具电子发票 失败?,A:税局登录失效会导致开具电子发票失败的原因是 ，无法与税局系统进行正常的信息交互和验证 。在开具电子发票的过 程中，需要与税局系统进行数据交互和验证 ，如果无法正常登录税局系统 ，就无法成功获取电子发票数据 ，从而导致开具 电子发票失败。因此，在开具电子发票前，需要确保税局登录账号处于有效状态 ，如果登录失效，需要重新登录账号并确 保账号状态正常 。,,,,
Q:登录报税局时提示数据请求超时怎么办 ?,"Q:登录报税局时提示数据请求超时怎么办 ? A:登录报税局时提示数据请求超时 ，可以尝试以下方法解决 : 
检查网络连接:确保网络连接稳定，如果网络不稳定可能会导致数据请求超时 。 等待一段时间 :如果系统负载过高 ，可能需要等待一段时间才能成功登录 。 联系技术支持 :如果以上方法都无法解决问题 ，可以联系报税局的技术支持 ，寻求进一步帮助 。 另外，如果角色未确认导致登录报税局出现问题 ，可以尝试确认角色信息并更新 ，以确保登录信息准确无误 。",,,,
"登录失败，智慧管家报""lockLogin error e.checkNt is not a function {}""",客户端退出重启下,,,,
开票超时一直提示超时,登录电子税局网页版:点击我要办税→开票业务→蓝字发票开具→批量开具，点击[批量开具]，此时会弹出实人认证页面,,,,
一直实名认证失效 ，但没有扫脸认证的弹窗,登录电子税局网页版:点击我要办税→开票业务→蓝字发票开具→批量开具，点击[批量开具]，此时会弹出实人认证页面,,,,
"开票提示“非法token”或""token已失效“",退出星翰 ，重新登录,,,,
"“电子税局登录失效 ，请重试!""没有弹窗",本地客户端 :打开智慧管家 ，企业信息管理 ，点击对应企业名称 ，编辑电子税局账号 ，重新登录 。云化客户端 :打开金蝶 发票云微信公众号——我的服务——电子税局配置，找到对应企业的电子税局账号管理 ，点击进去，点击对应账号，编 辑，重新输入密码登录 。,,,,
开数电蓝字发票报错 :网络繁忙,数量和单价要么同时为空要么都有值,,,,
使用发票智慧管家报错登录失效 ，刚开始是因为同时登 录了电子税局网页端 。关了之后重登录依然报错,一开始这个账号只有收票权限 ，我重新登录后多了一个开票 ，账号权限发生变化了 ，是需要重新编辑登录账号的,,,,
Q1:使用发票智慧管家时 ，出现登录失效的错误提 示，如何解决 ?,"A1:如果在使用发票智慧管家时出现登录失效的错误提示 ，可以尝试以下解决方法 : 
检查是否同时登录了电子税局网页端 ，如果有，请关闭网页端并重新登录发票智慧管家 。 检查账号权限是否发生变化 ，如果需要重新编辑登录账号 ，请根据系统提示进行操作 。 如果以上方法仍然无法解决问题 ，建议联系发票智慧管家的客服人员寻求帮助 。",,,,
如何获取电子税务局的登录账号和密码 ?,"要获取电子税务局的登录账号和密码 ，可以参考以下步骤 : 
首先，需要到当地税务局办理相关手续 ，申请电子税务局的登录账号和密码 。 申请成功后，可以使用电子税务局登录账号和密码直接登录发票智慧管家 。 需要注意的是，电子税务局登录账号和密码是针对具体企业的 ，如果企业发生变化，需要重新申请相应的登录账号和密码 。",,,,
如何编辑电子税务局登录账号 ?,本地客户端 :打开智慧管家 ，企业信息管理 ，点击对应企业名称 ，编辑电子税局账号 ，重新登录 。云化客户端 :打开金蝶 发票云微信公众号——我的服务——电子税局配置，找到对应企业的电子税局账号管理 ，点击进去，点击对应账号，编 辑，重新输入密码登录 。,,,,
在税局开票成功后 ，为什么发票云没有同步更新 ?,可能有多种原因导致税局开票成功但发票云没有同步更新 ，例如网络连接问题、系统故障、发票信息输入错误等。为了解 决此问题，建议先检查开票软件是否正常运行 ，并尝试在开票软件中修复发票后在发票云同步发票 。,,,,
现在生产上 ，上传xml只要查验通过且未用且未有用户 上传过其他文件 (图片、pdf、或ofd)就会下载到底账 数据PDF,是的，目前生产环境下 ，如果用户上传的 XML经过查验通过且未被使用 ，并且没有其他用户上传过其他文件 (如图片、 PDF或OFD)，那么用户可以下载到底账数据 PDF。,,,,
XML只能在全票池下载是吧,目前的规则是，XML只能在全票池进行下载，不能在其他池子中进行下载。但是下个迭代将会改为优 先下载XML。,,,,
目前系统不支持不同核算组织的发票一起连续打印 ，需 要选择同一核算组织的数据进行操作 。,需要客户设置一下旅客运输抵扣配置 进去之后可以按照自己的条件设置哪些旅客运输票可以抵扣 。,,,,
"如何在发票打印过程中将不同核算组织的发票一起连续
打印?",目前系统不支持不同核算组织的发票一起连续打印 ，需要选择同一核算组织的数据进行操作 。,,,,
"全电发票开具失败提示 : 1. ""销方银行账号‘salerCardNumber’不能为空"" 2. ""销方地址‘salerAddress’不能为空"" 3. ""销方电话‘salerPhone’不能为空"" 4. ""销方开户银行‘salerCardName’不能为空""","1.2023-02-28电子税务局开票，新增强制校验销方地址 、电话、开户行、银行账号4个字段，不允许为空;需要在调用方 配置这四个字段 云星空:税务管理-发票管理-金税连接设置中，配置企业地址电话、企业开户行及账号 EAS:税务管理-发票管理-基础设置-金税互联设置中，配置开户行及账号、地址电话字段 特别说明1:销方地址、电话、开户行、银行账号 对于电子税局是4个字段;但是星空和EAS是两个字段(企业地址电话、 企业开户行及账号 )，开票时发票云需要进行拆分 ，所以星空、EAS配置 企业地址电话时 (企业和电话中间增加一个空 格)、开户行及账号 (开户行和银行账号 )中间也增加一个空格 
特别说明2:虽然票面不展示这四个信息 ，税局也不校验准确性 ，但是税局开票记录中会保存这些信息 ，所以请按照客户 真实信息配置",,,,
"开红票失败 ，提示:”系统正在同步中 (DZDZ),请稍后 再试”","电子税务局开蓝票后需要同步到电子底账后才能红冲 ，需要等电子税局同步完成，时间(15分钟-2小时不等),建议客户 开蓝票两小时后再进行红冲操作",,,,
开票失败，提示:开票信息与当前账户不一致,"企业名称或企业税号配置错误 ;常见原因是企业名称中的括号一般为中文 ，但客户配置的是英文 ,配置为正确的企业名称 即可:星空的企业名称和税号在金税链接设置中配置 ，EAS的企业名称和税号在组织单元中设置正确即可 特别的:如果出现这种错误，需要在运营平台 检查下在发票云上，对应的企业名称是否正确，否则会导致销项发票由于 企业名称不匹配而无法入库",,,,
Q: 为什么开票时会提示 “您发票开具所使用的商品编码 未查询到所对应的项目信息 ”?,"星空:基础管理-基础资料-物料列表，找到对应物料，查看配置是税收分类编码是否正确 EAS:税务管理-发票管理-基础设置-商品名称，查看对应税收分类编码配置是否正确 如果配置未发现异常 ，登录电子税局平台 ，输入请求的商品分类编码 ，如果分类编码异常税局会提示 ”商品编码不存在 ” 星瀚:如果确认税局不存在该税收分类编码 ，提供客户的星瀚版本 ，找后台老师打包更新下税收分类编码",,,,
在开票过程中 ，如何检查商品编码对应的税收分类编码 是否正确 ?,在星空系统中，进入基础管理-基础资料-物料列表，找到对应的物料，查看配置中的税收分类编码是否正确 。 在EAS系统中，进入税务管理-发票管理-基础设置-商品名称，查看对应税收分类编码配置是否正确 。 如果配置没有发现异常 ，那么可以尝试登录电子税局平台 ，输入请求的商品分类编码 。如果分类编码异常 ，税局会提示 “ 商品编码不存在 ”。,,,,
"开票失败，提示”第x行商品税率0.xx不合法，请使用如 下税率:0.xx” 如:”第16行商品税率:0.13不合法,请使用如下税率: 0.06”","该错误常见于星空客户 : 1.若客户反馈纸票可以正常开具或之前可以正常开具 ，一般是税收优惠政策未设置 星空设置路径:基础管理-基础资料-物料列表，找到报错提示的对应商品进入编辑页面 ，选择 销售tab页，勾选:享受税 收优惠政策，选择简易征收(参考附录1截图) 2.如果客户仍然无法开具 ，登录电子税务局 : 进入 我要办税->开票业务->蓝字发票开具->开票信息维护->项目信息维护页面，新增一个项目，输入报错商品对应的税 收分类编码 ，选择不同的优惠政策 ，查看支持的税率",,,,
开票失败，提示:该发票正在开具中，请勿重复开具!,开票请求税局超时没有返回 ，我们会锁定这个开票请求 ，并等待10分钟，过程不允许再次开具,,,,
未用、已用和在用的发票状态有什么区别 ?,"A: 发票状态的枚举值包括未用 、已用和在用 ，它们之间的区别如下 : 
未用:指该发票尚未被业务单据绑定 ，即尚未与报销单等关联 。 在用:指该发票已经被业务单据绑定 ，但尚未经过审核 。即在报销流程中 ，用户已经将发票与业务单据建立了关联 ，但审 核流程尚未完成 。 已用:指该发票已经通过审核 ，并被业务单据绑定使用 。即报销流程已经完成 ，发票已成功关联并被用于报销单等业务单 据。 在ERP系统中，根据不同的发票状态可以方便地对发票进行处理和管理 ，例如根据状态判断是否允许将发票与业务单据绑 定，或者根据状态来判断是否需要对已绑定的发票进行审核等操作 。",,,,
星空重推发票邮件的功能在哪里 ?,A: 在金税开票单列表、全量电票推送或者销售增值税专用发票 ，开票信息、电子发票地址旁边会有 一个推送按钮 。,,,,
如何使用星空重推发票邮件的功能 ?,A: 点击电子发票旁边的推送按钮 ，输入收件人邮箱地址和推送数量 ，即可将电子发票推送到指定邮 箱。,,,,
Q: 星空重推发票邮件的功能有什么限制 ?,"A: 为了保障系统稳定性和数据安全 ，星空重推发票邮件的功能可能会有以下限制 : 
每个开票信息只能推送一定数量的电子发票 (目前是80字符以内); 推送电子发票时 ，需要输入收件人邮箱地址 ，且邮箱地址必须符合规范 ; 推送电子发票时，可能会存在一定的网络延迟 ，请耐心等待。",,,,
Q: 如果遇到推送失败的情况 ，如何处理?,"A: 如果遇到推送失败的情况 ，可以尝试以下几种解决方法 : 
检查邮箱地址是否正确 ，格式是否符合规范 ; 确认电子发票是否已经推送到邮箱 ，可以尝试在垃圾邮件箱中查看 ; 如果仍然无法推送成功 ，可以联系客服人员协助处理 。",,,,
Q1:税盘开的票是否可以在数电模式下进行红冲 ?,A1:是的，税盘开的票可以在数电模式下进行红冲 。不过税局目前有自己的控制 :普票红冲依赖税盘是否上缴 ;专票明 细超过8行(有清单也报错 )，电子税局会报错 (应该是电子税局的 bug,,,,
开票软件是能登录的 ，是点击发票云组件登录的时候提 示口令长度错误 。这个情况是要去税局重置密码是吗,在开票软件 ，登录时填的密码 ，是用户登录开票软件 ，这个软件的密码 不是税盘密码 因为用户之前记住了密码 ，所以 开票软件不会让客户再输入密码 一般税盘密码就是1-8，8个8，可以试试，如果实在记不住，只能去税局重置密码,,,,
在测试环境收票时填写完信息后提示税盘没有订购开收 票服务或服务已到期 ，如何解决 ?,测试环境的收票功能仅用于测试单据上传发票 ，无法连接税局下载发票 。不需要安装发票云组件 ，发票云组件用于连接正 式环境,,,,
销售发票到金税开票单 ，单据转换的数量和金额字段关 系映射是否可以反过来设置 ?,更改映射可能导致销售发票单据数据与原始数据不匹配 ，建议与星空确认，以免影响其他业务数据逻辑。发票云只接受开 票数据调用开票 ，不进行业务逻辑处理 。,,,,
扫码识别发票时为什么有些发票没有印章 ?,扫描发票左上角的二维码只能获取发票的结构化电子数据 ，并以预览的底账数据样式拼接显示 ，没有发票的印章和密码区 等信息。若需查看发票原图像 ，请进行拍照或扫描上传 。,,,,
发票助手Excel导入模板的日期格式能否调整为 YYYY- MM-DD?,发票助手的导入格式是固定的 ，无法修改,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
金税四期(数电票)的红蓝互抵规则是?,一张红字确认单只能对应一张蓝字发票 ，不允许一张红字确认单对应多张蓝票 。但是一张蓝字发票可以被多次红冲 ，所以 蓝票与红票是一对多的关系 。,,,,
每个企业扫脸实人认证频次是多久 ?,"纳税人在开具发票环节 (点击“发票开具”按钮)按如下规则进行实人认证 。风险级别判定: 1.I类纳税人 ，逐票刷脸认证 (开一张刷脸一次 )。 2.II类纳税人，每半小时刷脸认证一次 。 3.III类纳税人，每12小时刷脸验证一次 。 
4.IV类纳税人，每24小时刷脸一次。 (仅供参考，可能存在动态调整的情况 ，如部分地区各类纳税人均设置为最高 24小时，在24小时内纳税人可自行设置频次 。具体执行以实际情况为准 。)",,,,
数电发票开票扫脸实人认证可以设置时间间隔吗,"按照电子税务局规则设置，只有法人和财务负责人身份有权限可以对扫脸开票时间进行修改 ，开票人身份无法修改扫脸开 票时间 。 
如需进行修改，请以法人或者财务负责人的身份登录电子税务局 ，点击【我要办税】-【开票业务】-【蓝字发票开具】- 点击【发票填开】字样旁边的蓝色字 【身份认证频次设置 】进行修改。 注意:其中III类纳税人最长 12小时，IV类纳税人最高可调整到 24小时。I类、 II类纳税人不可调整 ，也无法看到调整按 钮",,,,
什么是开具金额总额度,具金额总额度 ，是指一个自然月内 ，试点纳税人发票开具总金额 (不含增值税 )的上限额度 ，包括试点纳税人可通过电子 发票服务平台开具的数字化电子发票 、增值税纸质专用发票 (以下简称纸质专票 )和增值税纸质普通发票 (折叠票，以下 简称纸质普票)的上限总金额以及可通过增值税发票管理系统开具的纸质专票 、纸质普票、增值税普通发票(卷式，以下 简称“卷式发票”)、增值税电子专用发票和增值税电子普通发票的上限总金额 。,,,,
初始开具金额总额度是什么 ?剩余可用发票额度是什 么?,"初始开具金额总额度，是指试点纳税人首次使用数字化电子发票时 ，电子发票服务平台赋予该纳税人的当月发票可开具金 额上限额度 。 
剩余可用发票额度，是指在一个自然月内，试点纳税人开具金额总额度扣除已使用额度 。其中，已使用额度包括试点纳税 人通过电子发票服务平台开具的发票金额 ，以及通过增值税发票管理系统开具的纸质专票 、纸质普票、卷式发票、增值税 电子专用发票和增值税电子普通发票的领用份数和单张发票最高开票限额之积 (存在多种不同版式的发票应分别计算并求 和)。",,,,
在哪里可查看我的发票总额度和可用发票额度 ?,纳税人可以登录电子税务局 -我要办税-开票业务-蓝字发票开具，在开具首页，可以查看当前发票总额度和可用发票额 度;纳税人也可以在我要办税-税务数字帐户界面查看当前发票总额度和可用发票额度 。,,,,
我在电子发票服务平台开具数电发票 、数电纸票，或用 税控开具纸质发票 ，额度扣除是一样的吗 ?,在发票总额度扣除方式与环节方面有不同之处 ——通过电子发票服务平台开具的发票 (包括数电电票和数电纸票 )，在发 票开具时扣除 ，扣除的是已实际开具发票的金额 ;通过税控系统开具的发票 ，在发票领用时扣除 ，扣除的是发票领用的单 张最高开票限额与发票领用份数之积 。,,,,
在开具发票时 ，发票额度可以自动增加吗 ?,税收风险程度较低的试点纳税人开具发票金额首次达到开具金额总额度一定比例时 ，电子发票服务平台当月自动为其临时 增加一次开具金额总额度 。,,,,
开具数电票 ，如果商品种类较多是否需要开具销货清 单?,数电票的载体为电子文件 ，无最大开票行数限制 ，交易项目明细能够在数电票中全部展示 ，无需开具销货清单 。,,,,
数电票报销入账归档的要求格式,"接收方取得数电票报销入账归档的 ，应按照《财政部 国家档案局关于规范电子会计凭证报销入账归档的通知 》(财会〔 2020〕6号，以下称《通知》)和《会计档案管理办法 》(财政部、国家档案局令第 79号)的相关规定执行 。 第一，接收方企业可以根据 《通知》第三条、第五条的规定，仅使用数电票含有数字签名的 XML文件进行报销入账归档 ， 可不再另以纸质形式保存 。 
第二，接收方企业如需以数电票的 PDF、OFD格式文件的纸质打印件作为报销入账归档依据的 ，应当根据《通知》第四条 的规定，同时保存数电票含有数字签名的 XML格式电子文件 。",,,,
开给对方的数电票 ，购方已入账并且购方仍然使用增值 税发票综合服务平台 ，销方该如何红冲发票 ?,"2022年11月，N公司(试点纳税人)销售一批玩具给P公司(非试点纳税人)，已开具带有“增值税专用发票”字样的全电发 票，P公司已确认用途 。2022年12月，该批玩具发生销货退回 。 情形一:N公司财务人员通过电子发票服务平台填开 《确认单》，选择原因和对应的蓝字发票信息 ，录入金额和税额 。P 公司财务人员通过增值税发票综合服务平台完成确认后 ，N公司财务人员据此开具红字全电发票 。 情形二:P公司财务人员通过增值税发票综合服务平台发起 《确认单》，选择原因和对应的蓝字发票信息 ，录入金额和税 额。N公司财务人员通过电子发票服务平台完成确认后 ，N公司财务人员据此开具红字全电发票 。",,,,
数电票部分红冲条件 ，及红冲原因选择,"1.当蓝字发票对应的“增值税用途标签”为空、“消费税用途标签”为“未勾选库存”、“入账状态标签”为“未入账”或“已入账撤销” 时，红字信息只允许销售方发起 (除非蓝字发票为收购发票 )且只能进行全额冲红 。 2. a.“冲红原因”为“开票有误”时，必须全额冲红，并且明细单价、金额、数量必须和蓝字发票保持一致 。当蓝字发票对应的“ 增值税优惠用途标签 ”为“待农产品全额加计扣除 ”或“已用于农产品全额加计扣除 ”的，必须全额红冲 ;“待农产品部分加计扣 除”或“已用于农产品部分加计扣除”的，第一次红冲只能对未加计部分全额冲红或对这张蓝票全额红冲 ，第二次红冲仅允许 对剩余部分 (即已加计部分 )全额红冲 。 
b.“红冲原因”为“销货退回”时，只允许修改数量，不允许修改单价。 c.“红冲原因 ”为“服务终止 ”时，允许修改总金额和数量 ，不允许修改单价 。 d. “红冲原因”为“销售折让”时，不能修改单价和数量。 e. 商品服务编码为以 1、2开头的冲红原因不允许选择 “服务中止”，商品服务编码为以3开头的冲红原因不允许选择 “销售退 回”，兼营销售则不对红字原因进行控制 。",,,,
星瀚开票多张发票推送为一封邮件的功能 ，一封邮件最 多推送多少张发票 ?,100张,,,,
申请乐企后在哪个平台开票用票 ?,开票原则上不互斥 :按照“乐企平台，电票平台，税控平台” ，各平台开票不具有 “互斥性”，选择在乐企平台开展后 ，其他 各个平台仍然原则上能进行开票操作 (根据主管税务机关的要求推进试点工作 )。 收票互斥:根据“乐企数字开放平台用票 ，电子发票服务平台用票 ，增值税发票综合服务平台用票 ”只能三者选其一的要 求，各平台用票具有 “互斥性”。因此乐企用票能力开通后 ，企业在增值税发票综合服务平台或电子发票服务平台的用票功 能将被关闭 。,,,,
进销项发票的用途状态查询 ，如入账、抵扣认证状态查 询等,"1、企业进项发票通过 RPA或乐企均支持批量入账 、抵扣等用途状态查询 ; 2、企业销项发票通过乐企支持批量查询入账 、抵扣状态查询(建议乐企) 3、企业销项发票通过 RPA产品暂时不支持 ，需要根据签单客户排期规划 (仅支持单张查询 ，适用于系统内单张票的查 询)",,,,
